codigo;categoria;marca;nuevo;descuento;producto;precio;inventario
23718;5;9;0;0;LLANTA 410X17 TT TRE ROMBO DURO DISTRIMOTOS  XXX171;118000;3
27517;5;15;0;0;LLANTA 275X17 TT CROSS CROSS DONIN  XXX 30;65000;2
27518;5;7;0;0;LLANTA 275X18 TT CROSS INOVE  XXX152;45000;2
300702;5;30;0;0;LLANTA 100X80X17 TL PIS EUROGRIP JKM  XXX684;155000;3
300723;5;25;0;0;LLANTA 90X90X18 TT LAG QUEEN PALACIOS XXX159;99000;4
300952;5;12;0;0;LLANTA 110X90X17 TT LAG QUEEN JKM  XXX175;148000;4
301059;5;16;0;0;LLANTA 110X90X18 TT LAG QUEEN PALACIOS  XXX183;149000;2
301667;5;7;0;0;LLANTA 410X18 TT MOR BEST TIRE PALACIOS  XXX581;129000;6
301747;5;1;0;0;LLANTA 120X90X17 TT LAG CHAOYANG HA BICICLETAS JKM  XXX435;260000;2
301757;5;1;0;0;LLANTA 120X90X17 TL LAG CHAOYANG HA BICICLETAS PALACIOS  XXX48;189000;5
301773;5;13;0;0;LLANTA 100X90X18 TL LAG BEST TIRE JKM  XXX137;149000;8
301792;5;3;0;0;LLANTA 300X17 TT MOR KENDA PALACIOS  XXX218;85000;32
3,04E+11;5;23;0;0;LLANTA 130X70X12 TL PIS DUNLOP YAMAHA  XXX106;198000;2
32517;5;16;0;0;LLANTA 325X17 TT MOR KENDA  XXX93;117000;5
3,53E+12;5;10;0;0;LLANTA 80X100X18 TL PIS MICHELLIN PILOT STREET II AKT;212000;1
3,53E+12;5;23;0;0;LLANTA 140X70X17 TL PIS PILOT II MICHELLIN AKT;398000;1
3,53E+12;5;12;0;0;LLANTA 100X90X18 TL PIS PILOT STREET MICHELLIN AKT;269000;2
37672;5;5;0;0;LLANTA 90X90X12 TL PIS CITY MICHELIN DISTRIMOTOS  XXX484;149000;1
412040;5;27;0;0;LLANTA 250X17 TT LAG KYLIN HA BICICLETAS  XXX456;68000;3
412041;5;26;0;0;LLANTA 275X17 TT LAG KYLIN HA BICICLETAS  XXX630;79000;12
412042;5;5;0;0;LLANTA 300X17 TT LAG KYLIN HA BICICLETAS;99000;7
412043;5;14;0;0;LLANTA 300X18 TT LAG KYLIN HA BICICLETAS;105000;7
412053;5;6;0;0;LLANTA 410X18 TT LAG KYLIN HA BICICLETAS  XXX582;145000;35
412068;5;17;0;0;LLANTA 275X17 TL LAG KYLIN HA BICICLETAS  XXX198;103000;16
412069;5;27;0;0;LLANTA 275X18 TL LAG KYLIN HA BICICLETAS  XXX148;115000;10
412071;5;13;0;0;LLANTA 100X80X17 TL LAG KYLIN  XXX189;119000;1
412074;5;16;0;0;LLANTA 275X17 TL PIS KYLIN HA BICICLETAS;108000;5
412075;5;29;0;0;LLANTA 275X18 TL PIS KYLIN HA BICICLETAS  XXX146;105000;5
412077;5;17;0;0;LLANTA 100X80X17 TL PIS KYLIN HA BICICLETAS  XXX306;115000;4
412080;5;5;0;0;LLANTA 90X90X18 TL PIS KYLIN HA BICICLETAS  XXX344;118000;1
412085;5;16;0;0;LLANTA 100X80X17 TL PIS KYLIN HA BICICLETAS  XXX43;119000;4
412119;5;30;0;0;LLANTA 275X17 TT MOR CHAOYANG HA BICICLETAS  XXX194;69000;2
412137;5;11;0;0;LLANTA 275X18 TT LAG CHAOYANG HA BICICLETAS;106000;4
412148;5;6;0;0;LLANTA 275X17 TT LAG CHAOYNAG HA BICICLETAS;101000;3
412149;5;29;0;0;LLANTA 300X17 TT CHAOYANG HA BICICLETAS;115000;1
412187;5;11;0;0;LLANTA 275X17 TT TRE CHAOYANG HA BICICLETAS;109000;4
412188;5;18;0;0;LLANTA 300X17 TT TRE CHAOYANG HA BICICLETAS  XXX68;109000;9
412237;5;4;0;0;LLANTA 130X70X17 TL PIS KYLIN HA BICICLETAS  XXX368;168000;1
412270;5;15;0;0;LLANTA 410X18 TT LAG KYLIN HA BICICLETAS  XXX122;165000;11
412287;5;4;0;0;LLANTA 70X90X17 TT PIS KYLIN HA BICICLETAS  XXX240;69000;7
412298;5;8;0;0;LLANTA 70X90X17 TL PIS KYLIN HA BICICLETAS  XXX241;84000;2
412423;5;1;0;0;LLANTA 110X80X17 TL LAG CHAOYANG HA BICICLETAS  XXX390;185000;1
412425;5;18;0;0;LLANTA 460X17 TT TREBOL CHAOYANG HA BICICLETAS  XXX506;129000;1
412426;5;1;0;0;LLANTA 410X18 TT TRE CHAOYANG HA BICICLETAS;159000;1
412431;5;1;0;0;LLANTA 70X90X17 TT PIS CHAOYANG HA BICICLETAS  XXX242;56000;1
412439;5;23;0;0;LLANTA 100X90X17 TT LAG CHAOYANG HA BICICLETAS XXX282;145000;1
412440;5;3;0;0;LLANTA 100X90X17 TL LAG CHAOYANG HA BICICLETAS  XXX238;189000;3
412441;5;10;0;0;LLANTA 110X90X17 TT LAG CHAOYANG HA BICICLETAS  XXX407;137000;1
412447;5;10;0;0;LLANTA 250X17 TT MOR CHAOYANG HA BICICLETAS  XXX644;69000;1
412484;5;24;0;0;LLANTA 110X70X18 TL PIS CHAOYANG HA BICICLETAS  XXX157;89000;1
412486;5;27;0;0;LLANTA 70X90X18 TL PIS CHAOYANG HA BICICLETAS;122000;2
412505;5;24;0;0;LLANTA 90X90X18 TL LAG TRAZANO HA BICICLETAS  XXX271;139000;2
412508;5;7;0;0;LLANTA 120X70X12 TL LAG CHAOYANG HA BICICLETAS;155000;1
412510;5;30;0;0;LLANTA 300X17 TT LAG CHAOYANG HA BICICLETAS;125000;1
412514;5;3;0;0;LLANTA 110X80X18 TL LAG CHAOYANG HA BICICLETAS;179000;4
412517;5;11;0;0;LLANTA 410X18 TT LAG H802 CHAOYANG HA BICICLETAS;165000;24
412518;5;24;0;0;LLANTA 90X90X19 TT LAG CHAOYANG HA BICICLETAS;129000;5
412519;5;23;0;0;LLANTA 70X90X17 TT PIS CHAOYANG HA BICICLETAS  XXX317;62000;1
412527;5;28;0;0;LLANTA 300X18 TT LAG TRAZANO HA BICICLETAS  XXX143;99000;1
412530;5;18;0;0;LLANTA 90X90X17 TL LAG TRAZANO HA BICICLETAS  XXX264;125000;2
412531;5;3;0;0;LLANTA 275X17 TT PIS TRAZANO HA BICICLETAS;75000;3
412533;5;30;0;0;LLANTA 300X17 TT PIS TRAZANO HA BICICLETAS;99000;4
412536;5;16;0;0;LLANTA 90X90X18 TL PIS TRAZANO HA BICILCETAS  XXX135;149000;1
412538;5;7;0;0;LLANTA 275X17 TT MOR TRAZANO HA BICICLETAS;85000;5
412543;5;14;0;0;LLANTA 275X21 TT TRE TRAZANO HA BICICLETAS;106000;5
412544;5;9;0;0;LLANTA 350X17 TT TRE TRAZANO HA BICICLETAS  XXX392;119000;9
412545;5;6;0;0;LLANTA 460X17 TT TRE TRAZANO HA BICICLETAS  XXX60;149000;3
412546;5;13;0;0;LLANTA 90X90X17 TL LAG CHAOYANG HA BICICLETAS;155000;2
412547;5;5;0;0;LLANTA 90X90X18 TL LAG CHAOYANG HA BICICLETAS;169000;3
412549;5;17;0;0;LLANTA 100X90X17 TL LAG CHAOYANG SILICA HA BICICLETAS  XXX317;175000;1
412555;5;26;0;0;LLANTA 90X90X18 TL PIS SILICA HA BICICLETAS  XXX160;119000;2
412561;5;3;0;0;LLANTA 110X90X17 TT LAG CHAOYANG HA BICICLETAS;169000;1
412562;5;13;0;0;LLANTA 460X17 TT LAG CHAOYANG HA BICICLETAS  XXX266;175000;3
412565;5;10;0;0;LLANTA 460X17 TT LAG CHAOYANG HA BICICLETAS  XXX267;175000;8
412567;5;5;0;0;LLANTA 120X90X18 TT LAG CHAOYANG HA BICICLETAS  XXX416;198000;3
412570;5;6;0;0;LLANTA 100X80X17 TL LAG CHAOYANG HA BICICLETAS  XXX309;179000;3
412575;5;25;0;0;LLANTA 90X90X19 TT CHAOYANG HA BICICLETAS;139000;1
412577;5;20;0;0;LLANTA 130X70X12 TL LAG TS10 6PR TRAZANO HA BICICLETAS;138000;3
412584;5;6;0;0;LLANTA 110X80X17 TL PIS TRAZANO HA BICLCLETAS  XXX364;125000;1
412593;5;13;0;0;LLANTA 130X70X17 TL PIS CHAOYANG HA BICICLETAS  XXX502;188000;1
412647;5;17;0;0;LLANTA 120X80X17 TL PIS CHAOYANG HA BICILETAS  XXX253;193000;1
412653;5;3;0;0;ELIMINADO;126000;1
412655;5;20;0;0;LLANTA 120X80X18 TL LAG CHAOYANG HA BICICLETEAS  XXX252;209000;4
412662;5;23;0;0;LLANTA 400X8 TT PIS TRAZANO HA BICICLETAS  XXX691;89000;3
412664;5;4;0;0;LLANTA 110X70X17 TL LAG SILICA CHAOYANG HA BICICLETAS  XXX387;179000;4
412666;5;27;0;0;LLANTA 140X70X17 TL LAG SILICA CHAOYANG HA BICICLETAS;269000;4
